SAMPLE,DATE,SITE,SAMP_TYPE,REP,TRT_NUM,DEPTH,TRT,NO3,NH4,SWC
1,1987-05-01,G,T,1,4,A,I,10.91,8.33,6.24
2,1987-05-01,G,T,1,4,B,I,8.79,4.52,5.98
3,1987-05-01,G,T,1,6,A,N+I,9.12,6.61,5.12
4,1987-05-01,G,T,1,6,B,N+I,10.65,9.2,6.96
5,1987-05-01,G,T,2,5,A,I,10.04,4.73,3.36
6,1987-05-01,G,T,2,5,B,I,7.9,5.85,5.01
7,1987-05-01,G,T,2,6,A,N+I,11.69,2.83,4.17
8,1987-05-01,G,T,2,6,B,N+I,12.33,3.57,5.38
9,1987-05-01,G,T,3,2,A,N+I,9.18,6,4.25
10,1987-05-01,G,T,3,2,B,N+I,11.41,7.29,4.87
11,1987-05-01,G,T,3,7,A,I,7.01,2.85,3.85
12,1987-05-01,G,T,3,7,B,I,6.64,2.89,4.57
13,1987-05-01,G,T,4,4,A,N+I,34.57,4.27,4.77
14,1987-05-01,G,T,4,4,B,N+I,42.57,3.71,6.46
15,1987-05-01,G,T,4,6,A,I,41.13,1.43,3.93
16,1987-05-01,G,T,4,6,B,I,54.7,1.98,5.93
17,1987-05-01,G,T,5,1,A,N+I,10.62,3.13,3.63
18,1987-05-01,G,T,5,1,B,N+I,9.24,3.74,4.13
19,1987-05-01,G,C,1,4,A,I,4.81,0.15,3.6
20,1987-05-01,G,C,1,4,B,I,4,-0.12,6.09
21,1987-05-01,G,C,1,6,A,N+I,3.86,0.79,3.74
22,1987-05-01,G,C,1,6,B,N+I,4.38,-0.12,6.38
23,1987-05-01,G,C,2,5,A,I,2.49,-0.03,3.36
24,1987-05-01,G,C,2,5,B,I,9.68,-0.12,6.41
25,1987-05-01,G,C,2,6,A,N+I,3.65,1.7,3.24
26,1987-05-01,G,C,2,6,B,N+I,30.21,0.7,6.16
27,1987-05-01,G,C,3,2,A,N+I,3.01,0.33,2.66
28,1987-05-01,G,C,3,2,B,N+I,8.97,0.19,3.92
29,1987-05-01,G,C,3,7,A,I,2.69,0.14,3.1
30,1987-05-01,G,C,3,7,B,I,8.63,0.23,5.65
31,1987-05-01,G,C,4,4,A,N+I,3.32,0.79,2.57
32,1987-05-01,G,C,4,4,B,N+I,NA,0.23,6.19
33,1987-05-01,G,C,4,6,A,I,9.15,0.05,4
34,1987-05-01,G,C,4,6,B,I,NA,0.05,6.24
35,1987-05-01,G,C,4,6,B,I,NA,0.14,6.24
36,1987-05-01,G,C,5,1,A,N+I,1.2,0.42,3.08
37,1987-05-01,G,C,5,1,B,N+I,5.24,0.14,5.27
38,1987-05-01,P,T,1,2,A,I,24.86,3.11,8.01
39,1987-05-01,P,T,1,2,B,I,19.5,8.46,8.23
40,1987-05-01,P,T,1,3,A,N+I,23.61,10.99,8.87
41,1987-05-01,P,T,1,3,B,N+I,19.42,15.36,9.07
42,1987-05-01,P,T,2,5,A,I,10.94,5,4.8
43,1987-05-01,P,T,2,5,B,I,11.6,2.29,7.01
44,1987-05-01,P,T,2,6,A,N+I,5.12,3.39,3.86
45,1987-05-01,P,T,2,6,B,N+I,5.67,3.32,4.51
46,1987-05-01,P,T,3,2,A,I,6.16,3.3,3.61
47,1987-05-01,P,T,3,2,B,I,5.89,3.08,4.55
48,1987-05-01,P,T,3,7,A,N+I,6.94,4.63,3.66
49,1987-05-01,P,T,3,7,B,N+I,5.72,6.31,4.66
50,1987-05-01,P,T,4,3,A,I,8.46,9.46,5.07
51,1987-05-01,P,T,4,3,B,I,8.86,9.48,6.33
52,1987-05-01,P,T,4,4,A,N+I,12.15,4.79,4.55
53,1987-05-01,P,T,4,4,B,N+I,11.27,5.6,6.2
54,1987-05-01,P,T,5,2,A,N+I,17.08,8.73,7.38
55,1987-05-01,P,T,5,2,B,N+I,14.71,7.73,7.81
56,1987-05-01,P,T,5,7,A,I,3.08,1.64,5.1
57,1987-05-01,P,T,5,7,A,I,3.46,2.13,5.1
58,1987-05-01,P,T,5,7,B,I,0.31,0.47,5.73
59,1987-05-01,P,C,1,2,A,I,35.29,2.97,7.64
60,1987-05-01,P,C,1,2,B,I,8.45,0.64,7.36
61,1987-05-01,P,C,1,3,A,N+I,16.49,0.6,6.98
62,1987-05-01,P,C,1,3,B,N+I,3.78,0.22,7.5
63,1987-05-01,P,C,2,5,A,I,8.3,0.14,3.87
64,1987-05-01,P,C,2,5,B,I,3,0.14,6.57
65,1987-05-01,P,C,2,6,A,N+I,2.68,0.22,3.77
66,1987-05-01,P,C,2,6,B,N+I,2.72,0.22,6.09
67,1987-05-01,P,C,3,2,A,I,7.81,0.14,4.09
68,1987-05-01,P,C,3,2,B,I,3.72,0.89,5.99
69,1987-05-01,P,C,3,7,A,N+I,2.45,0.2,4.15
70,1987-05-01,P,C,3,7,B,N+I,3.8,0.03,5.28
71,1987-05-01,P,C,4,3,A,I,12.31,0.03,6.26
72,1987-05-01,P,C,4,3,B,I,2.34,-0.06,6.75
73,1987-05-01,P,C,4,4,A,N+I,3.85,-0.02,3.79
74,1987-05-01,P,C,4,4,B,N+I,9.16,-0.06,6.42
75,1987-05-01,P,C,5,2,A,N+I,20.1,0.5,6.37
76,1987-05-01,P,C,5,2,B,N+I,4.2,0.11,7.31
77,1987-05-01,P,C,5,7,A,I,3.82,0.03,5.2
78,1987-05-01,P,C,5,7,B,I,1.33,0.03,6.53
79,1987-05-01,D,T,1,2,A,I,45.25,6.24,1.52
80,1987-05-01,D,T,1,2,B,I,59.35,7.17,2.19
81,1987-05-01,D,T,1,7,A,N+I,28.83,3.41,1.58
82,1987-05-01,D,T,1,7,B,N+I,80.38,5.45,3.25
83,1987-05-01,D,T,2,2,A,I,7.93,3.09,1.78
84,1987-05-01,D,T,2,2,B,I,6.68,2.25,2.33
85,1987-05-01,D,T,2,6,A,N+I,6.02,1.98,2.32
86,1987-05-01,D,T,2,6,B,N+I,5.83,2.26,2.88
87,1987-05-01,D,T,2,6,B,N+I,5.9,2.22,2.88
88,1987-05-01,D,T,3,2,A,N+I,8.57,2.9,1.73
89,1987-05-01,D,T,3,2,B,N+I,8.9,3.45,2.21
90,1987-05-01,D,T,3,6,A,I,0.85,0.82,1.67
91,1987-05-01,D,T,3,6,B,I,1.43,0.55,2.12
92,1987-05-01,D,T,4,3,A,N+I,46.91,5.82,2.13
93,1987-05-01,D,T,4,3,B,N+I,54.64,4.81,2.85
94,1987-05-01,D,T,4,4,B,I,27.86,4.93,2.45
95,1987-05-01,D,T,5,1,A,N+I,6.89,4.98,1.52
96,1987-05-01,D,T,5,1,B,N+I,7.84,4.03,2.15
97,1987-05-01,D,T,5,4,A,I,12.55,1.57,2.05
98,1987-05-01,D,T,5,4,B,I,15.56,1.02,1.98
99,1987-05-01,D,C,1,2,A,I,5.96,0.23,1.44
100,1987-05-01,D,C,1,2,B,I,41.53,0.15,2.63
101,1987-05-01,D,C,1,7,A,N+I,2.9,0.15,1.54
102,1987-05-01,D,C,1,7,B,N+I,69.2,0.86,2.38
103,1987-05-01,D,C,2,2,A,I,1.05,0.38,1.42
104,1987-05-01,D,C,2,2,B,I,8.67,1.97,2.69
105,1987-05-01,D,C,2,6,A,N+I,2.99,0.54,1.9
106,1987-05-01,D,C,2,6,B,N+I,2.2,0.19,3.55
107,1987-05-01,D,C,3,2,A,N+I,14.21,0.85,1.77
108,1987-05-01,D,C,3,2,B,N+I,16.49,1.78,2.05
109,1987-05-01,D,C,3,6,A,I,0.87,0.56,1.49
110,1987-05-01,D,C,3,6,B,I,0.65,0.33,2.88
111,1987-05-01,D,C,4,3,A,N+I,0.4,0.17,1.42
112,1987-05-01,D,C,4,3,B,N+I,3.79,0.13,1.51
113,1987-05-01,D,C,4,4,A,I,2.71,0.33,1.45
114,1987-05-01,D,C,4,4,B,I,9.96,0.33,2.61
115,1987-05-01,D,C,5,1,A,N+I,1.43,0.64,1.44
116,1987-05-01,D,C,5,1,B,N+I,4.86,6.45,2.07
117,1987-05-01,D,C,5,4,A,I,7.04,0.44,1.25
118,1987-05-01,D,C,5,4,B,I,15.92,0.25,3.18
121,1987-07-01,G,T,1,1,A,N+I,7.9,0.65,4.99
122,1987-07-01,G,T,1,1,B,N+I,17.18,3.78,4.88
123,1987-07-01,G,T,1,3,A,I,24.31,0.25,4.6
124,1987-07-01,G,T,1,3,B,I,14.76,0.29,4.5
125,1987-07-01,G,T,2,3,A,I,10.44,1.03,3.54
126,1987-07-01,G,T,2,3,B,I,9.08,0.64,3.19
127,1987-07-01,G,T,2,4,A,N+I,13.29,0.33,3.88
128,1987-07-01,G,T,2,4,B,N+I,17.48,0.72,3.76
129,1987-07-01,G,T,3,1,A,I,12.39,1.26,2.57
130,1987-07-01,G,T,3,1,B,I,14.22,0.33,2.96
131,1987-07-01,G,T,3,4,A,N+I,30.74,0.43,3.16
132,1987-07-01,G,T,3,4,B,N+I,3.73,1.14,3.42
133,1987-07-01,G,T,4,3,A,N+I,50.92,3,3.42
134,1987-07-01,G,T,4,3,B,N+I,46.24,3.17,4.89
136,1987-07-01,G,T,4,5,B,I,42.39,0.9,4.75
137,1987-07-01,G,T,5,3,A,N+I,18.17,4.41,2.65
138,1987-07-01,G,T,5,3,B,N+I,21.21,1.52,3.2
139,1987-07-01,G,T,5,6,A,I,7.82,1.06,3.06
140,1987-07-01,G,T,5,6,B,I,8.04,0.82,3.04
141,1987-07-01,G,C,1,1,A,N+I,8.94,0.9,3.38
142,1987-07-01,G,C,1,1,B,N+I,12.28,4.17,6.08
143,1987-07-01,G,C,1,3,A,I,9.18,0.67,4.01
144,1987-07-01,G,C,1,3,B,I,23.66,0.55,5.51
145,1987-07-01,G,C,2,3,A,I,3.54,0.66,2.28
146,1987-07-01,G,C,2,3,B,I,8.65,0.98,4.55
147,1987-07-01,G,C,2,4,A,N+I,11.69,0.12,3.45
148,1987-07-01,G,C,2,4,B,N+I,23.81,0.24,4.87
149,1987-07-01,G,C,3,1,A,I,16.04,1.21,2.09
150,1987-07-01,G,C,3,1,B,I,26.39,0.67,3.63
151,1987-07-01,G,C,3,4,A,N+I,1.61,0.36,2.64
152,1987-07-01,G,C,3,4,B,N+I,2.6,0.08,4.66
153,1987-07-01,G,C,4,3,A,N+I,9.59,0.43,1.97
154,1987-07-01,G,C,4,3,B,N+I,NA,1.53,5.94
155,1987-07-01,G,C,4,5,A,I,6.07,0.2,4.18
156,1987-07-01,G,C,4,5,B,I,88.64,0.12,5.45
157,1987-07-01,G,C,5,3,A,N+I,8.17,0.36,1.75
158,1987-07-01,G,C,5,3,B,N+I,64.74,0.2,4.59
159,1987-07-01,G,C,5,6,A,I,5.18,0.12,2.22
160,1987-07-01,G,C,5,6,B,I,25.14,0.12,4.79
161,1987-07-01,D,T,1,3,A,N+I,7.79,3.95,0.7
162,1987-07-01,D,T,1,3,B,N+I,9.62,2.27,0.85
163,1987-07-01,D,T,1,4,A,N+I,17.25,2.8,1.17
164,1987-07-01,D,T,1,4,B,N+I,23.48,2.04,1.33
165,1987-07-01,D,T,2,1,A,I,11.81,5.3,0.76
166,1987-07-01,D,T,2,1,B,I,10.54,5.03,0.95
167,1987-07-01,D,T,2,4,A,N+I,6.67,4.59,1.22
168,1987-07-01,D,T,2,4,B,N+I,6.77,3.03,1.22
169,1987-07-01,D,T,3,3,A,I,9.89,1.32,1.52
170,1987-07-01,D,T,3,3,B,I,11.67,2.19,1.34
171,1987-07-01,D,T,3,7,A,N+I,6.34,2.46,0.86
172,1987-07-01,D,T,3,7,B,N+I,5.53,1.29,0.96
173,1987-07-01,D,T,4,2,A,N+I,17.59,4.05,1.43
174,1987-07-01,D,T,4,2,B,N+I,15.44,4.27,1.45
175,1987-07-01,D,T,4,5,A,I,16.84,3.52,1.36
176,1987-07-01,D,T,4,5,B,I,17.51,1.44,1.81
177,1987-07-01,D,T,5,3,A,I,16.56,2.68,1.58
178,1987-07-01,D,T,5,3,B,I,17.32,1.62,1.62
179,1987-07-01,D,T,5,7,A,N+I,7.18,5.56,0.92
180,1987-07-01,D,T,5,7,B,N+I,14.75,2.68,1.41
181,1987-07-01,D,C,1,3,A,I,4.32,0.27,1.09
182,1987-07-01,D,C,1,3,B,I,7.46,0.08,2.01
183,1987-07-01,D,C,1,4,A,N+I,4.69,0.12,0.96
184,1987-07-01,D,C,1,4,B,N+I,11.06,0.12,2.59
185,1987-07-01,D,C,2,1,A,I,2.08,0.12,1.72
186,1987-07-01,D,C,2,1,B,I,2.22,0,3.03
187,1987-07-01,D,C,2,4,A,N+I,1.84,0.2,1
188,1987-07-01,D,C,2,4,B,N+I,1.7,0.27,2.14
189,1987-07-01,D,C,3,3,A,I,3.79,0.2,1.84
190,1987-07-01,D,C,3,3,B,I,2.98,0.12,1.62
191,1987-07-01,D,C,3,7,A,N+I,4.4,1.06,1.03
192,1987-07-01,D,C,3,7,B,N+I,3.2,0.48,1.37
193,1987-07-01,D,C,4,2,A,N+I,24.83,6.38,1.14
194,1987-07-01,D,C,4,2,B,N+I,12.11,1.33,2.36
195,1987-07-01,D,C,4,5,A,I,4.74,0.06,0.98
196,1987-07-01,D,C,4,5,B,I,6.54,0,2.29
197,1987-07-01,D,C,5,3,A,I,4.09,0.14,1.52
198,1987-07-01,D,C,5,3,B,I,10.95,0.1,2.44
199,1987-07-01,D,C,5,7,A,N+I,2.34,0.33,1.17
200,1987-07-01,D,C,5,7,B,N+I,18.61,0.25,1.73
201,1987-07-01,P,T,1,6,A,N+I,8.42,3.65,5.19
202,1987-07-01,P,T,1,6,B,N+I,5.65,2.97,6.53
203,1987-07-01,P,T,1,7,A,I,14.27,4.4,5.74
204,1987-07-01,P,T,1,7,B,I,9.37,0.79,6.27
205,1987-07-01,P,T,2,2,A,I,12.56,1.55,5.47
206,1987-07-01,P,T,2,2,B,I,13.57,0.6,5.94
207,1987-07-01,P,T,2,7,A,N+I,8.38,2.23,4.15
208,1987-07-01,P,T,2,7,B,N+I,6.62,1.43,4.84
209,1987-07-01,P,T,3,4,A,I,5.19,3.56,4.35
210,1987-07-01,P,T,3,4,B,I,3.3,1.2,4.35
211,1987-07-01,P,T,3,6,A,N+I,8.72,3.34,4.2
212,1987-07-01,P,T,3,6,B,N+I,5.77,3.01,4.77
213,1987-07-01,P,T,4,2,A,I,10.36,1.97,4.33
214,1987-07-01,P,T,4,2,B,I,6.25,1.04,5.12
215,1987-07-01,P,T,4,7,A,N+I,15.98,2.3,4.19
216,1987-07-01,P,T,4,7,B,N+I,11.78,1.29,5.52
217,1987-07-01,P,T,5,3,A,N+I,5.59,0.05,5.2
218,1987-07-01,P,T,5,3,B,N+I,2.89,0,6.75
219,1987-07-01,P,T,5,5,A,I,2.52,0.3,5.65
220,1987-07-01,P,T,5,5,B,I,3.66,-0.1,6.04
221,1987-07-01,P,C,1,6,A,N+I,7.98,-0.25,4.87
222,1987-07-01,P,C,1,6,B,N+I,1.29,-0.2,6.85
223,1987-07-01,P,C,1,7,A,I,10.06,-0.2,4.91
224,1987-07-01,P,C,1,7,B,I,1.34,-0.2,4.64
225,1987-07-01,P,C,2,2,A,I,14.48,-0.2,4.95
226,1987-07-01,P,C,2,2,B,I,4.73,-0.15,7.09
227,1987-07-01,P,C,2,7,A,N+I,3.72,-0.25,3.17
228,1987-07-01,P,C,2,7,B,N+I,2.19,-0.2,5.69
229,1987-07-01,P,C,3,4,A,I,3.08,0.2,4.06
230,1987-07-01,P,C,3,4,B,I,2.21,0.34,6.26
231,1987-07-01,P,C,3,6,A,N+I,3.63,0.1,3.68
232,1987-07-01,P,C,3,6,B,N+I,1.24,-0.1,5.21
233,1987-07-01,P,C,4,2,A,I,14.64,0.1,4.78
234,1987-07-01,P,C,4,2,B,I,3.51,0,5.72
235,1987-07-01,P,C,4,7,A,N+I,7.77,0.05,3.72
236,1987-07-01,P,C,4,7,B,N+I,4.37,0.2,5.41
237,1987-07-01,P,C,5,3,A,N+I,16.31,0.45,4.62
238,1987-07-01,P,C,5,3,B,N+I,2.12,0.2,6.16
239,1987-07-01,P,C,5,5,A,I,9.63,0.15,4.96
240,1987-07-01,P,C,5,5,B,I,3.32,0.1,5.73
301,1987-09-01,D,T,1,1,A,I,2.48,0.99,1.77
302,1987-09-01,D,T,1,1,B,I,1.79,1.79,1.74
303,1987-09-01,D,T,1,8,A,N+I,17.71,4.25,2.4
304,1987-09-01,D,T,1,8,B,N+I,15.31,11.04,2.09
305,1987-09-01,D,T,2,3,A,I,9.82,3.06,2.06
306,1987-09-01,D,T,2,3,B,I,4.97,1.76,1.71
307,1987-09-01,D,T,2,8,A,N+I,3.48,2.71,2.97
308,1987-09-01,D,T,2,8,B,N+I,1.93,2.64,3.01
309,1987-09-01,D,T,3,5,A,I,11.84,1,3.52
310,1987-09-01,D,T,3,5,B,I,10.41,3.57,3.13
311,1987-09-01,D,T,3,8,A,N+I,2.59,2.04,2.77
312,1987-09-01,D,T,3,8,B,N+I,3.07,3.27,2.69
313,1987-09-01,D,T,4,6,A,I,16.5,4.05,3.85
314,1987-09-01,D,T,4,6,B,I,12.51,3.17,3.15
315,1987-09-01,D,T,4,8,A,N+I,5.67,5.62,2.37
316,1987-09-01,D,T,4,8,B,N+I,14.53,3.74,2.15
317,1987-09-01,D,T,5,5,A,I,20.77,3.29,2.52
318,1987-09-01,D,T,5,5,B,I,21.6,2.44,2.85
319,1987-09-01,D,T,5,9,A,N+I,6.87,1.46,2.45
320,1987-09-01,D,T,5,9,B,N+I,2.56,0.7,2.43
321,1987-09-01,D,C,1,1,A,I,2.34,0.9,1.71
322,1987-09-01,D,C,1,1,B,I,1.97,0.51,3.57
323,1987-09-01,D,C,1,8,A,N+I,3.12,0.45,1.8
324,1987-09-01,D,C,1,8,B,N+I,43.27,2.55,2.36
325,1987-09-01,D,C,2,3,A,I,3.03,0.3,2.91
326,1987-09-01,D,C,2,3,B,I,2.53,0.3,2.78
327,1987-09-01,D,C,2,8,A,N+I,2.26,0.25,2.27
328,1987-09-01,D,C,2,8,B,N+I,2.67,0.27,11.45
329,1987-09-01,D,C,3,5,A,I,6.06,0.15,2.98
330,1987-09-01,D,C,3,5,B,I,4.92,0.3,3.22
